MUNICIPALITY,Total Consumer Loss in a month,average per household loss in month,Premium per kWh,% of households participating in competitive supply market,# of competitive supply accounts
Harvard,"9,510",34.09,0.038,14%,2 79
Harwich,"7,727",9.96,0.0158,20%,7 76
Harwich Port,"6,313",20.36,0.0265,14%,3 10
Hatfield,"1,757",11.87,0.0245,12%,1 48
Haverhill,"112,972",21.56,0.0459,20%,"5,240"
Hawley,579,17.03,0.036,17%,34
Heath,"1,940",23.95,0.0512,14%,81
Hingham,147,36.77,0.054,14%,4
Hinsdale,"1 ,389",9.14,0.0172,13%,1 52
Holbrook,"34,919",33.29,0.0496,25%,"1,049"
Holland,"9 ,010",25.82,0.0371,24%,3 49
Holliston,"10,277",15.98,0.0218,12%,6 43
Hopedale,"15,353",31.27,0.0389,22%,4 91
Hopkinton,"9 ,096",10.98,0.0129,13%,8 28
Hubbardston,"8 ,382",23.16,0.0403,20%,3 62
Humarock $,596,8.4,0.0214,10%,71
Huntington $,"1 ,477",13.55,0.0235,11%,1 09
Hyannis $,"25,819",11.61,0.0187,29%,"2,224"
Hyannis Port $,529,12.59,0.0138,11%,42
Hyde Park $,"46,446",13.18,0.0274,29%,"3,524"
Indian Orchard $,"10,445",12.52,0.0248,22%,8 34
Jamaica Plain $,"26,978",9.86,0.0237,17%,"2,736"
Kingston $,"8 ,533",12.79,0.0164,13%,6 67
Lake Pleasant $,34,4.79,0.0103,8%,7
Lakeville $,417,5.79,0.0095,17%,72
Lancaster $,"12,804",3 0.56,0.0397,15%,4 19
Lanesborough $,"1 ,859",9.68,0.0197,12%,1 92
Lawrence $,"180,006",26.58,0.0564,26%,"6,773"
Lee $,"1,312",2.53,0.0043,17%,5 19
Leicester $,"19,896",20.86,0.0381,22%,9 54
Lenox $,"7,869",29.25,0.0503,13%,2 69
Lenoxdale $,103,7.36,0.0202,6%,14
Leominster $,"114,984",27.72,0.0435,24%,"4,148"
Leverett $,961,8.58,0.0224,11%,1 12
Lexington $,"19,111",13.22,0.0214,12%,"1,446"
Leyden $,332,8.1,0.018,12%,41
Lincoln $,"6 ,108",17.81,0.0259,15%,3 43
Longmeadow $,"10,882",12.35,0.0183,15%,8 81
Lowell $,"271,704",25.26,0.052,28%,"10,757"
Ludlow $,"13,205",11.16,0.0215,14%,"1,183"
Lunenburg $,"34,030",7.25,0.0178,47%,"4,692"
Lynn $,"206,042",23.74,0.0549,26%,"8,678"
Malden $,"105,416",20.13,0.0508,21%,"5,238"
Manchester $,"13,706",4 1.91,0.0538,14%,3 27
Manomet $,401,1 2.16,0.0236,11%,33
Marion $,"6,036",14.94,0.0192,15%,4 04
Marlboro $,"78,445",23.64,0.051,20%,"3,318"
Marshfield $,"17,023",9.89,0.016,16%,"1,722"
Marshfld Hls $,236,13.89,0.0217,12%,17
Marstons Mls $,"7 ,716",11.74,0.0163,20%,6 57
Mashpee $,"22,051",10.91,0.0169,19%,"2,022"
Mattapan $,"36,249",1 2.07,0.0264,37%,"3,004"
Mattapoisett $,"6,608",15.48,0.0208,12%,4 27
Maynard $,"6,100",8.31,0.0167,16%,7 34
Medfield $,"7,244",12.75,0.0176,13%,5 68
Medford $,"89,460",24.82,0.0503,15%,"3,604"
Medway $,"5,935",8.15,0.0149,15%,7 28
Melrose $,"32,705",26,0.0493,11%,"1,258"
Mendon $,"11,578",28.66,0.0377,18%,4 04
Methuen $,"106,031",27.98,0.0434,20%,"3,789"
Middlefield $,193,9.21,0.0222,7%,21
Milford $,"70,753",25.27,0.0422,24%,"2,800"
Millbury $,"24,950",22.83,0.0421,19%,"1,093"
Millers Falls $,384,7.25,0.0107,14%,53
Millis $,"5 ,212",10.55,0.0151,15%,4 94
Millville $,"7 ,742",28.15,0.0392,23%,2 75
Milton $,"17,239",10.56,0.0152,17%,"1,632"
Monroe $,274,21.11,0.0491,17%,13
Monson $,"16,730",2 3.20,0.0397,20%,7 21
Montague $,"1,088",9.22,0.0187,12%,1 18
Monterey $,"3,622",35.86,0.0572,11%,1 01
Montgomery $,562,9.86,0.0189,15%,57
Monument Bch $,"1,185",9.26,0.0176,15%,1 28
Mt Washington $,679,23.41,0.0421,18%,29
Nahant $,"6,402",22.95,0.0513,17%,2 79
Nantucket $,"22,914",46.86,0.0487,4%,4 89
Natick $,"29,004",12.08,0.0202,16%,"2,400"
Needham $,"23,611",16.09,0.0191,13%,"1,467"
New Ashford $,106,6.61,0.0167,13%,16
New Bedford $,"112,787",11.98,0.0248,24%,"9,411"
New Braintree $,"2,236",31.06,0.0408,17%,72
New Marlboro $,"3 ,268",27.46,0.0515,11%,1 19
New Salem $,"2,658",32.41,0.0502,17%,82
Newbury $,"15,720",38.25,0.0454,13%,4 11
Newburyport $,"31,309",29.76,0.0496,12%,"1,052"
Newton $,"9,005",12.68,0.0248,14%,7 10
Newton Center $,"17,791",18.67,0.0215,14%,9 53
Newton Hlds $,"6,815",17.21,0.025,14%,3 96
Newton L F $,688,11.1,0.0202,13%,62
Newton U F $,"1,745",12.2,0.0234,11%,1 43
Newtonvlle $,"6,697",14.04,0.0263,13%,4 77
Norfolk $,"5,057",9.94,0.0133,14%,5 09
North Adams $,"24,750",20.27,0.0535,20%,"1,221"
North Andover $,"36,853",$,15%,"1,724",
North Brookfie $,"11,320",$,21%,4 42,
North Cambrid $,"12,805",$,11%,"1,040",
North Carver $,805,$,16%,35,
North Chatham $,"3,995",$,16%,1 77,
North Dartmou $,"9,592",$,12%,8 66,
North Eastham $,"4,855",$,14%,3 64,
North Falmout $,"5 ,283",$,15%,3 90,
North Hatfield $,237,$,5%,7,
North Truro $,"2,915",$,11%,1 85,
Northampton $,"44,828",$,15%,"1,962",
Northboro $,"30,268",$,15%,9 00,
Northfield $,"1 ,904",$,13%,1 83,
Norton $,"25,215",$,16%,"1,081",
Norwell $,"24,077",$,15%,5 49,
Oak Bluffs $,"9 ,424",$,16%,6 88,
Oakham $,"7,088",$,25%,2 20,
Ocean Bluff $,161,$,11%,19,
Onset $,"5,210",$,18%,4 22,
Orange $,"21,439",$,33%,"1,152",
Orleans $,"8 ,177",$,18%,5 83,
Osterville $,"8,398",$,15%,4 37,
Otis $,565,$,10%,93,
Oxford $,"29,819",$,22%,"1,209",
Palmer $,"26,878",$,19%,"1,088",
Pelham $,706,$,15%,95,
Pembroke $,"46,509",$,16%,"1,080",
Pepperell $,"24,511",$,17%,7 87,
Peru $,644,$,12%,53,
Petersham $,"2,582",$,18%,1 04,
Phillipston $,"3 ,387",$,18%,1 49,
Pittsfield $,"38,714",$,15%,"3,244",
Plainfield $,542,$,16%,60,
Plainville $,"13,693",$,13%,5 70,
Plymouth $,"37,684",$,14%,"3,783",
Plympton $,"1 ,671",$,13%,1 36,
Pocasset $,"4,903",$,19%,4 35,
Provincetown $,"6,737",$,13%,6 19,
Quincy $,"116,803",$,17%,"5,198",
Randolph $,"113,477",31,0.0475,30%,"3,661"
Rehoboth $,"19,455",27.06,0.0439,15%,7 19
Revere $,"103,010",23.33,0.0531,21%,"4,416"
Richmond $,"1 ,300",12.5,0.0184,11%,1 04
Rochester $,"3,415",11.57,0.014,13%,2 95
Rockland $,"51,493",3 3.01,0.0491,22%,"1,560"
Rockport $,"16,319",2 3.68,0.047,16%,6 89
Roslindale $,"33,825",11.93,0.0269,24%,"2,835"
Rowe $,826,22.95,0.044,16%,36
Roxbry Xng $,"11,023",10.36,0.0239,20%,"1,064"
Roxbury $,"38,030",10.97,0.0243,33%,"3,468"
Royalston $,"1 ,880",18.07,0.0398,16%,1 04
Russell $,320,16.82,0.0187,9%,19
Rutland $,"13,625",19.38,0.0394,21%,7 03
Sagamore $,771,7.56,0.0144,17%,1 02
Sagamore Bch $,"3,109",13.12,0.0165,16%,2 37
Salem $,"86,110",29.52,0.052,16%,"2,917"
Salisbury $,"11,133",17.78,0.04,13%,6 26
Sandisfield $,911,7.52,0.0137,16%,1 21
Sandwich $,"10,316",10.97,0.0165,18%,9 40
Saugus $,"74,214",38.29,0.0457,18%,"1,938"
Savoy $,491,7.67,0.0156,17%,64
Scituate $,"39,805",35.19,0.046,15%,"1,131"
Seekonk $,"30,170",3 4.36,0.0473,16%,8 78
Sharon $,"10,052",1 1.98,0.0176,14%,8 39
Sheffield $,"7 ,212",25.13,0.0485,16%,2 87
Shelburne $,266,9.87,0.0259,12%,27
Shelburne Fls $,"1,102",10.2,0.0214,15%,1 08
Sherborn $,"3,189",15.04,0.0157,13%,2 12
Shirley $,"10,512",20.98,0.0415,19%,5 01
Shutesbury $,"3,053",24.43,0.0431,14%,1 25
Somerset $,"35,060",22.8,0.0494,21%,"1,538"
Somerville $,"43,141",1 1.31,0.0317,16%,"3,816"
South Boston $,"15,331",8.97,0.0181,8%,"1,709"
South Carver $,615,14.31,0.0181,9%,43
South Chatham $,"2,330",12.66,0.0214,13%,1 84
South Dartmou $,"9,985",12.13,0.0215,14%,8 23
South Deerfield $,"2,037",9.52,0.0187,12%,2 14
South Dennis $,"9,303",14.67,0.0239,17%,6 34
South Harwich $,"1,488",$,16%,97,
South Lee $,84,$,8%,5,
South Orleans $,"2 ,803",$,16%,1 28,
South Walpole $,492,$,9%,31,
South Wellfleet $,"2,307",$,14%,1 51,
South Yarmout $,"11,068",$,21%,"1,021",
Southampton $,"2 ,680",$,12%,3 00,
Southborough $,"23,026",$,16%,5 92,
Southbridge $,"45,585",$,31%,"2,271",
Southwick $,"8 ,624",$,16%,6 29,
Spencer $,"28,396",$,24%,"1,270",
Springfield $,"179,916",$,24%,"13,409",
Stockbridge $,"8,809",$,14%,2 18,
Stoneham $,"12,537",$,13%,"1,337",
Stoughton $,"84,095",$,23%,"2,436",
Sturbridge $,"20,968",$,24%,"1,005",
Sudbury $,"10,615",$,12%,7 70,
Sunderland $,"1 ,982",$,10%,1 95,
Sutton $,"19,948",$,16%,6 03,
Swampscott $,"22,251",$,14%,7 63,
Swansea $,"43,120",$,19%,"1,299",
Teaticket $,"5,035",$,20%,4 13,
Tewksbury $,"69,725",$,15%,"1,728",
Tolland $,474,$,17%,92,
Topsfield $,"16,652",$,13%,3 18,
Townsend $,"5 ,850",$,6%,2 50,
Truro $,"3,054",$,16%,2 22,
Turners Falls $,"3 ,992",$,14%,3 75,
Tyngsboro $,"23,398",$,16%,7 32,
Tyringham $,-13,$,7%,21,
Upton $,"13,569",$,17%,5 07,
Uxbridge $,"23,852",$,20%,"1,180",
Vineyard Hvn $,"10,032",$,18%,5 57,
Vlg Nag Wd $,384,$,11%,31,
Waban $,"5,751",$,12%,2 80,
Wakefield $,-1,$,8%,2,
Wales $,"4,128",$,23%,2 14,
Walpole $,"12,265",$,12%,8 68,
Waltham $,"50,149",$,19%,"4,905",
Waquoit $,"2,476",9.98,0.0156,20%,2 48
Ware $,"29,834",27.86,0.0437,24%,"1,071"
Wareham $,"16,652",12.61,0.0203,20%,"1,321"
Warren $,"14,086",26.23,0.0361,25%,5 37
Warwick $,"1,746",20.07,0.0548,21%,87
Washington $,533,12.11,0.0233,15%,44
Watertown $,"22,156",8.11,0.018,17%,"2,732"
Wayland $,"8,053",10.53,0.0147,15%,7 65
Webster $,"40,856",24.13,0.0434,21%,"1,693"
Wellfleet $,"7 ,401",16.86,0.0261,14%,4 39
Wendall $,0,0.22,0.0066,20%,2
Wenham $,"12,526",59.93,0.0473,15%,2 09
West Barnstab $,"4,613",16.3,0.0186,21%,2 83
West Bridgewa $,"11,069",24.54,0.0431,16%,4 51
West Brookfiel $,"9 ,177",18.14,0.0293,30%,5 06
West Chatham $,"1,546",14.06,0.0196,12%,1 10
West Dennis $,"3 ,730",12.39,0.0195,13%,3 01
West Falmouth $,"2,400",17.27,0.0276,14%,1 39
West Harwich $,"3,153",16.25,0.0224,13%,1 94
West Hatfield $,423,9.61,0.0211,14%,44
West Hyannisp $,"1,555",14.4,0.02,15%,1 08
West Newbury $,"9,945",36.7,0.0388,16%,2 71
West Newton $,"10,346",17.02,0.0262,14%,6 08
West Roxbury $,"19,923",9.13,0.0181,19%,"2,181"
West Somervill $,"9,667",9.74,0.0284,9%,9 92
West Springfie $,"26,330",12.45,0.0222,19%,"2,115"
West Stockbrid $,"5,033",35.2,0.0534,16%,1 43
West Tisbury $,"8 ,016",24.97,0.0246,14%,3 21
West Wareham$,"3,768",11.63,0.016,21%,3 24
West Yarmouth$,"14,746",11.97,0.0198,20%,"1,232"
Westboro $,"24,544",27.64,0.0446,12%,8 88
Westford $,"29,494",29,0.0476,11%,"1,017"
Westhampton $,"1 ,175",11.63,0.019,13%,1 01
Westminster $,"12,227",23.16,0.0419,16%,5 28
Weston $,"12,636",22.77,0.0172,14%,5 55
Westport $,"24,323",18.86,0.0351,17%,"1,290"
Westport Pt $,405,12.66,0.0249,13%,32
Westwood $,"10,894",16.31,0.019,12%,6 68
Weymouth $,"140,690",29.95,0.048,20%,"4,698"
Whately $,707,10.39,0.0167,10%,68
Whitinsville $,"47,182",35.32,0.0455,20%,"1,336"
Whitman $,"36,679",30.77,0.0462,21%,"1,192"
Wht Horse Bch $,81,5.42,0.0153,7%,15
Wilbraham $,"26,026",24.35,0.0411,19%,"1,069"
Williamsburg $,"3 ,453",20.08,0.0515,14%,1 72
Williamstown $,"12,663",28.08,0.0547,16%,4 51
Winchendon $,"16,117",14.49,0.0287,28%,"1,112"
Winchester $,"15,787",1 8.44,0.0242,11%,8 56
Windsor $,825,11.95,0.023,14%,69
Winthrop $,"35,134",27.93,0.05,17%,"1,258"
Woburn $,"26,022",8.67,0.0169,18%,"3,001"
Woods Hole $,"1 ,105",10.23,0.0214,13%,1 08
Worcester $,"390,078",23.03,0.046,25%,"16,941"
Woronoco $,127,6.03,0.0096,18%,21
Worthington $,734,7.19,0.0195,15%,1 02
Wrentham $,"27,636",36.41,0.0441,17%,7 59
Yarmouth Port $,"9,361",12.48,0.0188,20%,7 50
